"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","自定义字段","1.哪张图展示的内容更吸引你呢？","2.哪张图展示的内容更吸引你呢？","3.哪张图展示的内容更吸引你呢？","4.哪张图展示的内容更吸引你呢？","5.哪张图展示的内容更吸引你呢？","6.哪张图展示的内容更吸引你呢？","7.哪张图展示的内容更吸引你呢？","8.哪张图展示的内容更吸引你呢？","9.哪张图展示的内容更吸引你呢？","10.哪张图展示的内容更吸引你呢？","11.哪张图展示的内容更吸引你呢？","12.哪张图展示的内容更吸引你呢？","13.哪张图展示的内容更吸引你呢？","14.哪张图展示的内容更吸引你呢？","15.哪张图展示的内容更吸引你呢？","16.哪张图展示的内容更吸引你呢？","17.哪张图展示的内容更吸引你呢？","18.哪张图展示的内容更吸引你呢？","19.哪张图展示的内容更吸引你呢？","20.哪张图展示的内容更吸引你呢？","21.哪张图展示的内容更吸引你呢？","22.哪张图展示的内容更吸引你呢？","23.哪张图展示的内容更吸引你呢？","24.哪张图展示的内容更吸引你呢？","25.哪张图展示的内容更吸引你呢？","26.哪张图展示的内容更吸引你呢？","27.哪张图展示的内容更吸引你呢？","28.哪张图展示的内容更吸引你呢？","29.哪张图展示的内容更吸引你呢？","30.哪张图展示的内容更吸引你呢？","31.哪张图展示的内容更吸引你呢？","32.哪张图展示的内容更吸引你呢？",
"4","21-Jun-2020 15:47:29","21-Jun-2020 15:50:12","163","美国","","","","3","2","1","3","3","1","2","3","1","1","1","3","1","2","1","2","3","1","1","1","2","3","3","1","1","1","3","3","2","1","3","1",
"3","21-Jun-2020 15:46:25","21-Jun-2020 15:50:11","226","中国","内蒙古自治区","呼伦贝尔市","","2","1","3","2","3","1","2","2","3","1","3","2","1","3","3","1","1","1","2","1","1","1","3","1","1","3","2","3","1","2","1","1",
"2","21-Jun-2020 14:53:08","21-Jun-2020 14:54:05","57","中国","北京市","北京市","","3","2","3","2","1","2","1","1","1","1","1","1","1","1","1","1","2","3","3","1","1","3","2","1","2","1","2","2","2","2","2","2",
"1","21-Jun-2020 14:46:46","21-Jun-2020 14:50:22","216","中国","广东省","","","1","3","1","2","1","3","3","1","1","2","1","2","1","2","3","2","1","3","2","2","2","2","3","1","1","1","2","2","2","1","3","3",
