10.请用一些关键词概述你对美联航(United Airlines)的总体印象
飞机餐差
不上不下

服务不太好（？
sketchy？
一般般
reputation不好

No return
Racist but hasn’t happened to me so I still order for the cheap tickets because nothing is ethical under a capitalistic world :(
之前因为超售就把一位亚裔医生打下了飞机？
航空餐量小
历史久 飞机也旧旧的
Expensive but Convenient
还不错
中规中矩，服务一般，东西不好吃
便宜
中美航线
没啥事别坐
服务一般，飞机餐难吃，其他还好
不记得了
之前经常取消航班 最近越来越好 退换机票很方便 接电话也很快
服务不好
并没有乘坐过
疫情大规模取消航班 亚裔暴力事件
一般 无感
挺大的航司
准点率较高
ok
arrogant
大妈
空调冷..
Pretty reliable
饭不太好吃 服务一般 有很多负面新闻
还可以
Status quo
设施很久座位很挤
辣鸡
多售票
Priced reasonably while reaching standards.
服务态度差，种族歧视中国人。上次把华裔拉出来的事就是美联航干的。
声誉差
很差
冷
差
Racist and mediocre
无
便宜，服务不好
umm
飞机餐太难吃了……… 机上服务相比较其他航班 比较一般
饭难吃
Bad service， crappy planes
无
品质
窄小、暴力、粗鲁、廉航
空乘年龄比较大 饭难吃

机型老
服务质量一般，飞机餐不好吃，座椅空间不大，价格合适，航班时段与直飞航班很多
没有坐过
空乘人员年龄较大
没印象
便宜，娱乐设施相对不强
大众
什么都做，什么都做的一般

中等的航班公司
great
比较差
美国国际航班的靠谱选择，但是价格和服务质量都有更好的航空公司选择
不错
poor values
普通
还行吧 但是政策挺不灵活
不太妙 （记得几年前那个美联航飞机上把乘客拖下飞机的事情吗？）
Standard
喜欢united和delta

以积分形式退票
还行吧，有点坑
没坐过，据说延误率和丢失行李率相比delta等美国本土航空高一些
不了解
not good；歧视华人
无
Convenient
没印象

便宜，有趣的乘务员，歧视华人丑闻
不错，空调冷
一般
便宜
饭不好吃，其他都还好

不错
之前出过racist的事情 印象不是很好

服务很一般 殴打亚洲事件
慢 简陋 mediocre
饭很难吃
Neat， average food
算是比较有名的美国航空公司吧
正常水平
买了票也给你拖出去
取票方便 一般飞的时间短 对服务到没啥印象
普通
无
Good， Customer-oriented
慢，容易晚点，机餐一般，服务态度好


价格较便宜？服务态度不能非常保障？
飞机老，有时候没有屏幕
OK-ish
Just fine
座位舒适度没有其他航司高，飞机餐一般，但航线时间对于我来说比较短
勉强
服务极其不好，最好不选
一般
便宜，有直飞
good
Shithole
还行 服务其实也不算太差 就是很抠
Popular
廉价 服务态度不好
一般，无特别印象
没怎么坐过…
eh
挺贵的，上次出过种族歧视PR危机
不好，座位很小，很不舒服
中等偏上
小，挤，服务一般
设施好，准点率不错
不值
延误严重，空调太冷

Mostly reliable， irresponsible recently
感觉服务上有缺陷？比较白？没有国航坐着放心
服务很一般
No clear impression
好像没坐过…
"Average, typical american airline"
Dull and old flight staff
"Boring environment, Unattractive flight attendants, bad food"
"Bad food, Rude flight staff, Old airplanes"
"Basic, small seats and less leg space"
"Mediocre, Kicks out passengers, Business looks like economy"
Air hostesses are rude
Below average
"Uncomfortable, Boring"
Decent
Sleep
Bad service
Bad Service
"Uncomfortable seats, Average service"
"Value for Money, Better than average"
Overall decent
"Average, Impolite staff"
Unknown
Don't know much about them
"Meet my expectations, Good"
"Reliable, ubiquitous"
"Punctual, average service"
Rude staff
Average and reasonable
I think they have a bad rep not sure
Not known
Cramped
